Nazwa,ECTS,Tryb,Kryteria,kategorie
Techniki komunikacji niewerbalnej,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali obejmuje odpowiedź na kilka pytań otwartych, dotyczących zagadnień z całego kursu, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu.",Inne
Komunikacja multimodalna w interakcjach twarzą w twarz,3.0,zdalnie,"Kurs odbywa się on-line na platformie KAMPUS i składa się z 15 modułów. Co tydzień na platformie otwierany jest jeden moduł z artykułami naukowymi na dany temat i zadaniami do tego tematu, które trzeba wykonać w bieżącym tygodniu. Ostatni moduł stanowi podsumowanie kursu i zawiera przeglądowy quiz z 14 zrealizowanych tematów. Po zakończeniu kursu on-line odbywa się pisemne zaliczenie w sali, które polega na rozwiązaniu zadania nawiązującego do treści zadań z kursu. Ocena końcowa stanowi średnią dwóch ocen: oceny wystawianej na podstawie punktów za wykonanie zadań z 15 modułów na kursie i  oceny za wykonanie zadania zaliczeniowego w sali.",Media i komunikacja
Komunikacja w praktyce - rozpoznawanie problemów,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali obejmuje odpowiedź na kilka pytań otwartych, dotyczących zagadnień z całego kursu, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu.",Media i komunikacja
Komunikacja w praktyce - interpretacja i tworzenie tekstów użytkowych,3.0,zdalnie,"Na ocenę końcową składa się średnia z oceny za bieżącą pracę nad punktowanymi zadaniami kursowymi i z oceny za wykonanie pracy na zaliczenie w sali. Praca w sali polega na zredagowaniu lub przeredagowaniu jednego dłuższego tekstu lub kilku krótszych tekstów, reprezentujących gatunki omawiane na kursie, a warunkiem dopuszczającym do jej wykonania  jest zaliczenie wszystkich zadań z kursu on-line.
Zaliczenie końcowe w sali odbywa się w pierwszym tygodniu sesji w budynku Wydziału Neofilologii przy Dobrej 55. 
Pełny regulamin kursu jest dostępny dla zarejestrowanych uczestników po zalogowaniu się na platformie COME i wejściu na stronę kursu.",Media i komunikacja
Studia z filozofii języka,3.0,zdalnie,"Aktywne uczestnictwo w zajęciach
Kontrola obecności",Inne
Wybrane problemy kultury i praktycznej stylistyki języka polskiego,3.0,w sali,"Uczestnicy konwersatorium będą oceniani na podstawie obecności, aktywności na zajęciach oraz pracy zaliczeniowej (forma do uzgodnienia).",Inne
Ageing Societies - a multidisciplinary perspective,3.0,,"(tylko po angielsku) •	permanent marking including: students’ presence record (min. 80%) and preparation for classes
•	active individual and in-group participation (homework) throughout the course 
•	implementation of the requirements presented in the beginning of the course",Inne
Małżeństwo i rodzina w koncepcjach społecznych,3.0,w sali,"Ocena ciągła - uwzględnia
•	aktywne uczestnictwo w zajęciach
•	przygotowanie referatów/prezentacji, zarysu projektu badawczego (próba łączenia  teorii z badaniami)
•	kontrola obecności 
•	egzamin- do uzgodnienia",Inne
Psychologia polityki,3.0,,"1.	Ocena ciągła – uwzględniająca przygotowanie do zajęć i aktywność
2.	Referat bądź prezentacja    
3.	Egzamin pisemny
30 godzin kontaktowych
30 godzin przygotowania do zajęć
25 godzin przygotowania do egzaminu",Inne
Socjologia pracy,3.0,w sali,"Egzamin ustny. 
W ocenie będzie brana pod uwagę umiejętność interpretacji zagadnień z obszaru socjologii pracy na podstawie wybranych lektur i wykładu, oraz aktywność podczas wykładu.   
Szacunkowa, całkowita liczba godzin pracy studenta:  
30h - wykład z elementami konwersatorium, godziny kontaktowe 
50h  - praca własna studenta, zapoznanie się z lekturami, przygotowanie się do zajęć i egzaminu
Wybrane lektury do egzaminu (do ustalenia):
1. A. Giddens, Socjologia, PWN, Warszawa 2002, roz. 12: Nowoczesne organizacje, roz. 13, Praca i życie gospodarcze, s. 366-441.
2. U. Beck, Społeczeństwo ryzyka. W drodze do innej nowoczesności, Wydawnictwo Naukowe Scholar, Warszawa 2002,  roz. 6, Odstandaryzowanie pracy zarobkowej. Przyszłość wykształcenia i zatrudnienia, s. 206-231. 
3. W. Piotrowski, T. Olejniczak, Organizacja jako system, w: D. Latusek-Jurczak, T. Olejniczak, W. Piotrowski, Teoria organizacji, Poltext, Warszawa 2018, s. 100-128.
4. W. Piotrowski, Organizacja jako maszyna, w: D. Latusek-Jurczak, T. Olejniczak, W. Piotrowski, Teoria organizacji, Poltext, Warszawa 2018, s. 76-98.
5. G. Standing, Prekariat. Nowa niebezpieczna klasa, PWN, Warszawa 2014, roz. 1, s. 33-74. [dostęp: http://www.praktykateoretyczna.pl/prekariat/01_Prekariat_Rozdz.1.pdf].
6. E. Giermanowska, A. Mrozowicki, J. Róg-Ilnicka, Socjologia pracy w Polsce: Społeczno-gospodarcze i polityczne problemy instytucjonalizacji subdyscypliny, „Przegląd Socjologiczny” nr 3, 2019, s. 11-41. [dostęp: http://ojsltn.uni.lodz.pl/index.php/Przeglad-Socjologiczny/article/download/575/523]
7. D. Polkowska, Między światem realnym a wirtualnym: obietnice vs. rzeczywistość. Prekarna praca kierowcy Ubera? „Przegląd Socjologii Jakościowej” 2019,  t. 15, nr 4, s. 224–249.  Dostępny w Internecie: ‹www.przegladsocjologiijakosciowej.org›. 
8. K. Krzysztofek, Technologie cyfrowe w dyskursach o przyszłości pracy, „Studia Socjologiczne” 2015, nr. 4. 
http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.desklight-a65c3604-a801-479f-a583-779497082f13
9. M. Kostera. P. Niemiec, Chcemy odzyskać sens pracy, 31.10.2020, https://magazynkontakt.pl/chcemy-odzyskac-sens-pracy/
10. R. Góralska, Praca emocjonalna dorosłych. Pomiędzy skutecznością a wypaleniem zawodowym pracownika, „Edukacja Dorosłych”, 2015, nr 1 (172), s. 91-102.",Socjologia i antropologia
Antropologia przesądu - czarownice,2.0,,"Zaliczenie na podstawie eseju pisanego w parach. Kryteria oceny eseju znajdują się na stronie przedmiotu. Dodatkowym warunkiem jest nieprzekroczenie limitu nieobecności (2). Trzecia i czwarta nieobecność powodują obniżenie końcowej oceny po pół stopnia, piąta – niezaliczenie w pierwszym terminie. Prowadzący rezerwuje sobie prawo do podwyższenia końcowej oceny za aktywność.",Socjologia i antropologia
How Do Cultures Think? Introduction to Cognitive Anthropology,3.0,w sali,(tylko po angielsku) Oral exam assessing participants’ grasp of the material presented in class and in assigned readings. The list of questions for the exam will be provided in the beginning of the semester.,Inne
"""Inny"" w ujęciu socjologicznym",3.0,,"Obecność, aktywność podczas zajęć (udział w dyskusji, umiejętność pracy w grupie, zapewnienie informacji zwrotnej), prezentacja (wstępna relacja z badań własnych lub pozycja z listy lektur).",Inne
Living in the age of anxiety. Sociology of risk in catastrophic times,3.0,w sali,"Active participation in discussions in the classroom (30%)
Preparing an essay (3000-4000 words) on risk-related topic, on the basis of three readings discussed during the class (70%).",Inne
Pierwsze szkoły antropologiczne i ich mistrzowie: problematyka kultury,3.0,w sali,Praca pisemna na jeden z 4 tematów podanych na początku semestru.,Inne
Demokracja i totalitaryzm - teoria i instytucje,3.0,,"1.	Ocena ciągła – uwzględniająca obecność na zajęciach i aktywność
2.	Egzamin pisemny
30 godzin kontaktowych
25 godzin przygotowania do egzaminu
25 godzin przygotowania do zajęć – czytanie lektur",Inne
Prawo i płeć,3.0,w sali,Studenci będą oceniani na podstawie eseju z zakresu tematyki zajęć oraz na podstawie obecności na zajęciach i przygotowanych prezentacji.,Prawo i polityka
Społeczna teoria prawa,3.0,,obecność i aktywność na zajęciach; egzamin pisemny,Inne
Współczesne miasta,3.0,,"zajęcia dydaktyczne - 30 godzin 
przygotowanie do zajec - 20 godzin 
przygotowanie do egzaminu - 30 godzin 
Lączny nakład  pracy studenta - 80 godzin 
Kryteria oceniania 
- obecność na zajeciach 
- aktywny udzial w dyskusjach 
- przygotwanie prezentacji z wybranego fragmentu przestrzeni miejskiej 
- wyniki egzaminu",Inne
"Antropologia współczesności: teorie, metody, program badawczy",3.0,mieszany: w sali i zdalniew sali,"Zaliczenie wykładu odbywa się w trakcie egzaminu ustnego. Podczas egzaminu oceniane są: wiedza zawarta w materiale wykładowym i w lekturach obowiązkowych; umiejętność krytycznej analizy poznanych pojęć i teorii, umiejętność ich zastosowania do analizy zjawisk kultury współczesnej.","Socjologia i antropologia, Technologie i dane"
Antropologia prawa i wielość kultur prawnych,3.0,w sali,"Ocena ciągła (obecność)
Praca pisemna na wybrany temat w oparciu o własne badania antropologiczno-kulturowe
Egzamin pisemny
30 godzin kontaktowych
20 godzin przygotowania do egzaminu
20 godzin przygotowania do zajęć: pisanie pracy opartej na badaniach własnych
10 godzin przygotowania do zajęć – czytanie i analiza lektur",Socjologia i antropologia
Dane zastane i wytwarzane: badanie przekazów ikonicznych,2.0,mieszany: w sali i zdalniew sali,"1) Na zajęciach typu warsztatowego obecność jest szczególnie ważna ze względu na ciągłość pracy. Każda nieobecność musi być uzasadniona, a materiał nadrobiony. 
2) Liczy się również aktywność, w tym wywiązywanie się z dostarczania materiału wizualnego do kolejnych zajęć oraz aktywność na zajęciach.
3) Na zaliczenie przedmiotu trzeba przygotować raport badawczy zawierający analizę wybranego materiału ikonicznego co najmniej dwoma metodami.",Inne
Polityka mieszkaniowa,3.0,,Obecność na zajęciach (20%); ocena z egzaminu (80%).,Prawo i polityka
Prawo o organizacjach pozarządowych,3.0,w sali,"Najważniejszą formą weryfikacji i oceniania osiągniętych przez studenta efektów uczenia się jest egzamin pisemny zawierający kilkanaście pytań otwartych. Student powinien wykazać się umiejętnościami przedstawionymi w rubryce „efekty uczenia się”. Oznacza to w szczególności znajomość szczegółowych zagadnień teoretycznych i praktycznych zasad funkcjonowania organizacji pozarządowych w Polsce oraz wybranych krajach europejskich, ich funkcji społecznych, problematyki współpracy z administracją publiczną, zasad wspierania organizacji pozarządowych ze środków publicznych i pozyskiwania funduszy z innych źródeł (fundraising), zasad funkcjonowania i skali zjawiska wolontariatu w Polsce, mechanizmu alokacji 1% oraz problematyki prowadzenia konsultacji społecznych.",Prawo i polityka
Rodzina w dyskursie społecznym,2.0,w sali,"1.	Ocena ciągła – uwzględniająca:
* obecność na zajęciach
* przygotowanie do zajęć
* aktywność na zajęciach 
2.  prezentacja - przygotowana indywidualnie/grupowo
3.  praca zaliczeniowa – forma  do uzgodnienia",Inne
The Other / Otherness in Social Sciences,3.0,,Participation and activity at the seminar plus presentation of seminar text.,Inne
Warsztaty pisarskie,2.0,mieszany: w sali i zdalnie,"• Punktualność nadsyłania zadań pisarskich + jakość tekstów (z uwzględnieniem indywidualnych postępów), 
• obecność i udział w zajęciach (łącznie z lekturą tekstów pisanych przez pozostałych uczestników zajęć),
• wybranie i poprawienie jednego z zadań na koniec warsztatów.",Inne
Zarządzanie projektami,2.0,w sali,"Forma zaliczenia: Warunkiem zaliczenia jest wypełnienie zobowiązań związanych z aktywnym udziałem w zajęciach, a obejmujących obecności na cotygodniowych spotkaniach oraz przygotowanie i prezentacja założeń własnego projektu (praca grupowa w zespołach)",Ekonomia i zarządzanie
Zarządzanie różnymi grupami pracowników,2.0,w sali,"ocena ciągła związana z obecnością na zajęciach (dozwolone są max. 2 nieobecności) i przygotowaniem do zajęć. Kolokwium na ocenę. Konieczność przygotowane scenariusza szkolenia przeznaczonego dla organizacji (praca zespołowa).
50% oceny końcowej= wynik kolokwium
50% oceny końcowej = ocena z prezentacji zespołowej",Ekonomia i zarządzanie
Socjologia przestępczości: spory wokół polityki karania,3.0,w sali,"Egzamin (test)
Liczba nieobecności podlegających usprawiedliwieniu: 4
Zasady zaliczenia poprawkowego: egzamin ustny
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu) – 15h",Socjologia i antropologia
Siły zbrojne i wojna,3.0,w sali,"Zajęcia kończyć się będą egzaminem pisemnym z czterema pytaniami otwartymi, z których egzaminowani będą odpowiadać na trzy. Oceniana będzie posiadana przez nich wiedza oraz umiejętność jej wykorzystania. Pytania zostaną podane z wyprzedzeniem, a odpowiadając na nie uczestnicy będą mogli skorzystać z przygotowanych przez siebie materiałów.
Dopuszczalna liczba nieobecności: trzy. Po przekroczeniu limitu trzech nieobecności należy zaliczać przygotowując prace pisemne na tematy poruszane na wykładzie.
Egzamin poprawkowy będzie mieć formą identyczną jak ten w pierwszym terminie.
Do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu/ napisania eseju) – 10h",Inne
"Antropologia. Historia, teoria i praktyka badawcza",3.0,w sali,"Egzamin ustny
Wymagania egzaminacyjne – znajomość treść wykładów oraz wybranych zagadnień  z następujących lektur:· 
Barth F., Gingrich A., Parkin R., Silverman S., Antropologia. Jedna dyscyplina, cztery tradycje: brytyjska, niemiecka, francuska i amerykańska, Wyd. UJ, Kraków 2007.· 
Bernard A., Antropologia. Zarys teorii i historii, PIW, Warszawa 2006.· 
Kuper A., Między charyzmą a rutyną. Szkice z brytyjskiej antropologii społecznej 1982 –1982, Wyd. Łódzkie, Łódź 1986
Nowicka E., Świat człowieka - świat kultury, Wydanie nowe, Wydawnictwo PWN, Warszawa 2006.
Deliege R., Historia Antropologii, Oficyna Naukowa, Warszawa 2011.","Historia i archeologia, Socjologia i antropologia"
Dziedzictwo kulturowe i pamięć społeczna w ujęciu antropologicznym i socjologicznym,3.0,w sali,"Egzamin pisemny
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2
Zasady zaliczania poprawkowego: Egzamin ustny
do godzin przeznaczonych na zajęcia w sali (30h) należy doliczyć czas konieczny do przygotowania się do zajęć (czytanie lektur) – 2h tygodniowo oraz czas konieczny do przygotowania się do finalnego zaliczenia (egzaminu) – 10h",Inne
